OrderID,ProductName,CategoryName,Company_Name,UnitPrice,Quantity,Discount,Purchase
10257,Original Frankfurter grüne Soße,Condiments,HILARION-Abastos,10.4,15,0,156.00
10257,Schoggi Schokolade,Confections,HILARION-Abastos,35.1,25,0,877.50
10258,Chang,Beverages,Ernst Handel,15.2,50,0.2,608.00
10258,Chef Anton's Gumbo Mix,Condiments,Ernst Handel,17,65,0.2,884.00
10258,Mascarpone Fabioli,Dairy Products,Ernst Handel,25.6,6,0.2,122.88
10259,Gravad lax,Seafood,Centro comercial Moctezuma,20.8,1,0,20.80
10259,Sir Rodney's Scones,Confections,Centro comercial Moctezuma,8,10,0,80.00
10260,Jack's New England Clam Chowder,Seafood,Ottilies Käseladen,7.7,16,0.25,92.40
10260,Outback Lager,Beverages,Ottilies Käseladen,12,21,0.25,189.00
10260,Ravioli Angelo,Grains/Cereals,Ottilies Käseladen,15.6,50,0,780.00
10260,Tarte au sucre,Confections,Ottilies Käseladen,39.4,15,0.25,443.25
10261,Sir Rodney's Scones,Confections,Que Delícia,8,20,0,160.00
10261,Steeleye Stout,Beverages,Que Delícia,14.4,20,0,288.00
10262,Chef Anton's Gumbo Mix,Condiments,Rattlesnake Canyon Grocery,17,12,0.2,163.20
10262,Gnocchi di nonna Alice,Grains/Cereals,Rattlesnake Canyon Grocery,30.4,2,0,60.80
10262,Uncle Bob's Organic Dried Pears,Produce,Rattlesnake Canyon Grocery,24,15,0,360.00
10263,Guaraná Fantástica,Beverages,Ernst Handel,3.6,28,0,100.80
10263,Longlife Tofu,Produce,Ernst Handel,8,36,0.25,216.00
10263,Nord-Ost Matjeshering,Seafood,Ernst Handel,20.7,60,0.25,931.50
10263,Pavlova,Confections,Ernst Handel,13.9,60,0.25,625.50
10264,Chang,Beverages,Folk och fä HB,15.2,35,0,532.00
10264,Jack's New England Clam Chowder,Seafood,Folk och fä HB,7.7,25,0.15,163.63
10265,Alice Mutton,Meat/Poultry,Blondesddsl père et fils,31.2,30,0,936.00
10265,Outback Lager,Beverages,Blondesddsl père et fils,12,20,0,240.00
10266,Queso Manchego La Pastora,Dairy Products,Wartian Herkku,30.4,12,0.05,346.56
10267,Boston Crab Meat,Seafood,Frankenversand,14.7,50,0,735.00
10267,Lakkalikööri,Beverages,Frankenversand,14.4,15,0.15,183.60
10267,Raclette Courdavault,Dairy Products,Frankenversand,44,70,0.15,2618.00
10268,Mozzarella di Giovanni,Dairy Products,GROSELLA-Restaurante,27.8,4,0,111.20
10268,Thüringer Rostbratwurst,Meat/Poultry,GROSELLA-Restaurante,99,10,0,990.00
10269,Geitost,Dairy Products,White Clover Markets,2,60,0.05,114.00
10269,Mozzarella di Giovanni,Dairy Products,White Clover Markets,27.8,20,0.05,528.20
10270,Inlagd Sill,Seafood,Wartian Herkku,15.2,30,0,456.00
10270,Ipoh Coffee,Beverages,Wartian Herkku,36.8,25,0,920.00
10271,Geitost,Dairy Products,Split Rail Beer & Ale,2,24,0,48.00
10272,Gorgonzola Telino,Dairy Products,Rattlesnake Canyon Grocery,10,40,0,400.00
10272,Mozzarella di Giovanni,Dairy Products,Rattlesnake Canyon Grocery,27.8,24,0,667.20
10272,Sir Rodney's Marmalade,Confections,Rattlesnake Canyon Grocery,64.8,6,0,388.80
10273,Boston Crab Meat,Seafood,QUICK-Stop,14.7,60,0.05,837.90
10273,Geitost,Dairy Products,QUICK-Stop,2,20,0,40.00
10273,Gorgonzola Telino,Dairy Products,QUICK-Stop,10,15,0.05,142.50
10273,Ikura,Seafood,QUICK-Stop,24.8,24,0.05,565.44
10273,Lakkalikööri,Beverages,QUICK-Stop,14.4,33,0.05,451.44
10274,Flotemysost,Dairy Products,Vins et alcools Chevalier,17.2,20,0,344.00
10274,Mozzarella di Giovanni,Dairy Products,Vins et alcools Chevalier,27.8,7,0,194.60
10275,Guaraná Fantástica,Beverages,Magazzini Alimentari Riuniti,3.6,12,0.05,41.04
10275,Raclette Courdavault,Dairy Products,Magazzini Alimentari Riuniti,44,6,0.05,250.80
10276,Ikura,Seafood,Tortuga Restaurante,24.8,15,0,372.00
10276,Konbu,Seafood,Tortuga Restaurante,4.8,10,0,48.00
10277,Rössle Sauerkraut,Produce,Morgenstern Gesundkost,36.4,20,0,728.00
10277,Tarte au sucre,Confections,Morgenstern Gesundkost,39.4,12,0,472.80
10278,Gula Malacca,Condiments,Berglunds snabbköp,15.5,16,0,248.00
10278,Raclette Courdavault,Dairy Products,Berglunds snabbköp,44,15,0,660.00
10278,Röd Kaviar,Seafood,Berglunds snabbköp,12,25,0,300.00
10278,Vegie-spread,Condiments,Berglunds snabbköp,35.1,8,0,280.80
10279,Alice Mutton,Meat/Poultry,Lehmanns Marktstand,31.2,15,0.25,351.00
10280,Guaraná Fantástica,Beverages,Berglunds snabbköp,3.6,12,0,43.20
10280,Pâté chinois,Meat/Poultry,Berglunds snabbköp,19.2,20,0,384.00
10280,Rhönbräu Klosterbier,Beverages,Berglunds snabbköp,6.2,30,0,186.00
10281,Guaraná Fantástica,Beverages,Romero y tomillo,3.6,6,0,21.60
10281,Steeleye Stout,Beverages,Romero y tomillo,14.4,4,0,57.60
10281,Teatime Chocolate Biscuits,Confections,Romero y tomillo,7.3,1,0,7.30
10282,Nord-Ost Matjeshering,Seafood,Romero y tomillo,20.7,6,0,124.20
10282,Ravioli Angelo,Grains/Cereals,Romero y tomillo,15.6,2,0,31.20
10283,Camembert Pierrot,Dairy Products,LILA-Supermercado,27.2,35,0,952.00
10283,Genen Shouyu,Condiments,LILA-Supermercado,12.4,20,0,248.00
10283,Mozzarella di Giovanni,Dairy Products,LILA-Supermercado,27.8,3,0,83.40
10283,Teatime Chocolate Biscuits,Confections,LILA-Supermercado,7.3,18,0,131.40
10284,Camembert Pierrot,Dairy Products,Lehmanns Marktstand,27.2,20,0.25,408.00
10284,Gula Malacca,Condiments,Lehmanns Marktstand,15.5,21,0,325.50
10284,Laughing Lumberjack Lager,Beverages,Lehmanns Marktstand,11.2,5,0.25,42.00
10284,Schoggi Schokolade,Confections,Lehmanns Marktstand,35.1,15,0.25,394.88
10285,Boston Crab Meat,Seafood,QUICK-Stop,14.7,40,0.2,470.40
10285,Chai,Beverages,QUICK-Stop,14.4,45,0.2,518.40
10285,Perth Pasties,Meat/Poultry,QUICK-Stop,26.2,36,0.2,754.56
10286,Steeleye Stout,Beverages,QUICK-Stop,14.4,100,0,1440.00
10286,Tarte au sucre,Confections,QUICK-Stop,39.4,40,0,1576.00
10287,Pavlova,Confections,Ricardo Adocicados,13.9,40,0.15,472.60
10287,Sasquatch Ale,Beverages,Ricardo Adocicados,11.2,20,0,224.00
10287,Spegesild,Seafood,Ricardo Adocicados,9.6,15,0.15,122.40
10288,Scottish Longbreads,Confections,Reggiani Caseifici,10,3,0.1,27.00
10288,Tourtière,Meat/Poultry,Reggiani Caseifici,5.9,10,0.1,53.10
10289,Aniseed Syrup,Condiments,B's Beverages,8,30,0,240.00
10289,Wimmers gute Semmelknödel,Grains/Cereals,B's Beverages,26.6,9,0,239.40
10290,Chef Anton's Gumbo Mix,Condiments,Comércio Mineiro,17,20,0,340.00
10290,Maxilaku,Confections,Comércio Mineiro,16,15,0,240.00
10290,Original Frankfurter grüne Soße,Condiments,Comércio Mineiro,10.4,10,0,104.00
10290,Thüringer Rostbratwurst,Meat/Poultry,Comércio Mineiro,99,15,0,1485.00
10291,Gula Malacca,Condiments,Que Delícia,15.5,24,0.1,334.80
10291,Konbu,Seafood,Que Delícia,4.8,20,0.1,86.40
10291,Manjimup Dried Apples,Produce,Que Delícia,42.4,2,0.1,76.32
10292,Sir Rodney's Marmalade,Confections,Tradição Hipermercados,64.8,20,0,1296.00
10293,Carnarvon Tigers,Seafood,Tortuga Restaurante,50,12,0,600.00
10293,Guaraná Fantástica,Beverages,Tortuga Restaurante,3.6,10,0,36.00
10293,Rhönbräu Klosterbier,Beverages,Tortuga Restaurante,6.2,6,0,37.20
10293,Vegie-spread,Condiments,Tortuga Restaurante,35.1,5,0,175.50
10294,Alice Mutton,Meat/Poultry,Rattlesnake Canyon Grocery,31.2,15,0,468.00
10294,Camembert Pierrot,Dairy Products,Rattlesnake Canyon Grocery,27.2,21,0,571.20
10294,Chai,Beverages,Rattlesnake Canyon Grocery,14.4,18,0,259.20
10294,Ipoh Coffee,Beverages,Rattlesnake Canyon Grocery,36.8,15,0,552.00
10294,Rhönbräu Klosterbier,Beverages,Rattlesnake Canyon Grocery,6.2,6,0,37.20
10295,Gnocchi di nonna Alice,Grains/Cereals,Vins et alcools Chevalier,30.4,4,0,121.60
10296,Gudbrandsdalsost,Dairy Products,LILA-Supermercado,28.8,15,0,432.00
10296,Pavlova,Confections,LILA-Supermercado,13.9,30,0,417.00
10296,Queso Cabrales,Dairy Products,LILA-Supermercado,16.8,12,0,201.60
10297,Chartreuse verte,Beverages,Blondesddsl père et fils,14.4,60,0,864.00
10297,Mozzarella di Giovanni,Dairy Products,Blondesddsl père et fils,27.8,20,0,556.00
10298,Chang,Beverages,Hungry Owl All-Night Grocers,15.2,40,0,608.00
10298,Inlagd Sill,Seafood,Hungry Owl All-Night Grocers,15.2,40,0.25,456.00
10298,Raclette Courdavault,Dairy Products,Hungry Owl All-Night Grocers,44,30,0.25,990.00
10298,Tarte au sucre,Confections,Hungry Owl All-Night Grocers,39.4,15,0,591.00
10299,Outback Lager,Beverages,Ricardo Adocicados,12,20,0,240.00
10299,Teatime Chocolate Biscuits,Confections,Ricardo Adocicados,7.3,15,0,109.50
10300,Louisiana Hot Spiced Okra,Condiments,Magazzini Alimentari Riuniti,13.6,30,0,408.00
10300,Scottish Longbreads,Confections,Magazzini Alimentari Riuniti,10,20,0,200.00
10301,Boston Crab Meat,Seafood,Die Wandernde Kuh,14.7,10,0,147.00
10301,Gnocchi di nonna Alice,Grains/Cereals,Die Wandernde Kuh,30.4,20,0,608.00
10302,Alice Mutton,Meat/Poultry,Suprêmes délices,31.2,40,0,1248.00
10302,Ipoh Coffee,Beverages,Suprêmes délices,36.8,12,0,441.60
10302,Rössle Sauerkraut,Produce,Suprêmes délices,36.4,28,0,1019.20
10303,Boston Crab Meat,Seafood,Godos Cocina Típica,14.7,40,0.1,529.20
10303,Louisiana Fiery Hot Pepper Sauce,Condiments,Godos Cocina Típica,16.8,30,0.1,453.60
10303,Scottish Longbreads,Confections,Godos Cocina Típica,10,15,0.1,135.00
10304,Flotemysost,Dairy Products,Tortuga Restaurante,17.2,2,0,34.40
10304,Maxilaku,Confections,Tortuga Restaurante,16,30,0,480.00
10304,Raclette Courdavault,Dairy Products,Tortuga Restaurante,44,10,0,440.00
10305,Carnarvon Tigers,Seafood,Old World Delicatessen,50,25,0.1,1125.00
10305,Chartreuse verte,Beverages,Old World Delicatessen,14.4,30,0.1,388.80
10305,Thüringer Rostbratwurst,Meat/Poultry,Old World Delicatessen,99,25,0.1,2227.50
10306,Nord-Ost Matjeshering,Seafood,Romero y tomillo,20.7,10,0,207.00
10306,Perth Pasties,Meat/Poultry,Romero y tomillo,26.2,10,0,262.00
10306,Tourtière,Meat/Poultry,Romero y tomillo,5.9,5,0,29.50
10307,Scottish Longbreads,Confections,Lonesome Pine Restaurant,10,3,0,30.00
10307,Tarte au sucre,Confections,Lonesome Pine Restaurant,39.4,10,0,394.00
10308,Gudbrandsdalsost,Dairy Products,Ana Trujillo Emparedados y helados,28.8,1,0,28.80
10308,Outback Lager,Beverages,Ana Trujillo Emparedados y helados,12,5,0,60.00
10309,Chef Anton's Cajun Seasoning,Condiments,Hungry Owl All-Night Grocers,17.6,20,0,352.00
10309,Flotemysost,Dairy Products,Hungry Owl All-Night Grocers,17.2,3,0,51.60
10309,Grandma's Boysenberry Spread,Condiments,Hungry Owl All-Night Grocers,20,30,0,600.00
10309,Ipoh Coffee,Beverages,Hungry Owl All-Night Grocers,36.8,20,0,736.00
10309,Singaporean Hokkien Fried Mee,Grains/Cereals,Hungry Owl All-Night Grocers,11.2,2,0,22.40
10310,Pavlova,Confections,The Big Cheese,13.9,10,0,139.00
10310,Tarte au sucre,Confections,The Big Cheese,39.4,5,0,197.00
10311,Gudbrandsdalsost,Dairy Products,Du monde entier,28.8,7,0,201.60
10311,Singaporean Hokkien Fried Mee,Grains/Cereals,Du monde entier,11.2,6,0,67.20
10312,Ipoh Coffee,Beverages,Die Wandernde Kuh,36.8,24,0,883.20
10312,Perth Pasties,Meat/Poultry,Die Wandernde Kuh,26.2,20,0,524.00
10312,Rhönbräu Klosterbier,Beverages,Die Wandernde Kuh,6.2,10,0,62.00
10312,Rössle Sauerkraut,Produce,Die Wandernde Kuh,36.4,4,0,145.60
10313,Inlagd Sill,Seafood,QUICK-Stop,15.2,12,0,182.40
10314,Escargots de Bourgogne,Seafood,Rattlesnake Canyon Grocery,10.6,30,0.1,286.20
10314,Mascarpone Fabioli,Dairy Products,Rattlesnake Canyon Grocery,25.6,40,0.1,921.60
10314,Tarte au sucre,Confections,Rattlesnake Canyon Grocery,39.4,25,0.1,886.50
10315,Outback Lager,Beverages,Island Trading,12,30,0,360.00
10315,Sasquatch Ale,Beverages,Island Trading,11.2,14,0,156.80
10316,Jack's New England Clam Chowder,Seafood,Rattlesnake Canyon Grocery,7.7,10,0,77.00
10316,Tarte au sucre,Confections,Rattlesnake Canyon Grocery,39.4,70,0,2758.00
10317,Chai,Beverages,Lonesome Pine Restaurant,14.4,20,0,288.00
10318,Jack's New England Clam Chowder,Seafood,Island Trading,7.7,20,0,154.00
10318,Lakkalikööri,Beverages,Island Trading,14.4,6,0,86.40
10319,Alice Mutton,Meat/Poultry,Tortuga Restaurante,31.2,8,0,249.60
10319,Lakkalikööri,Beverages,Tortuga Restaurante,14.4,30,0,432.00
10319,Rössle Sauerkraut,Produce,Tortuga Restaurante,36.4,14,0,509.60
10320,Flotemysost,Dairy Products,Wartian Herkku,17.2,30,0,516.00
10321,Steeleye Stout,Beverages,Island Trading,14.4,10,0,144.00
10322,Filo Mix,Grains/Cereals,Pericles Comidas clásicas,5.6,20,0,112.00
10323,Chartreuse verte,Beverages,Königlich Essen,14.4,4,0,57.60
10323,Genen Shouyu,Condiments,Königlich Essen,12.4,5,0,62.00
10323,NuNuCa Nuß-Nougat-Creme,Confections,Königlich Essen,11.2,4,0,44.80
10324,Pavlova,Confections,Save-a-lot Markets,13.9,21,0.15,248.11
10324,Raclette Courdavault,Dairy Products,Save-a-lot Markets,44,40,0.15,1496.00
10324,Spegesild,Seafood,Save-a-lot Markets,9.6,30,0,288.00
10324,Steeleye Stout,Beverages,Save-a-lot Markets,14.4,70,0.15,856.80
10324,Vegie-spread,Condiments,Save-a-lot Markets,35.1,80,0.15,2386.80
10325,Gorgonzola Telino,Dairy Products,Königlich Essen,10,4,0,40.00
10325,Grandma's Boysenberry Spread,Condiments,Königlich Essen,20,6,0,120.00
10325,Konbu,Seafood,Königlich Essen,4.8,12,0,57.60
10325,Mozzarella di Giovanni,Dairy Products,Königlich Essen,27.8,40,0,1112.00
10325,Tofu,Produce,Königlich Essen,18.6,9,0,167.40
10326,Chef Anton's Cajun Seasoning,Condiments,Bólido Comidas preparadas,17.6,24,0,422.40
10326,Ravioli Angelo,Grains/Cereals,Bólido Comidas preparadas,15.6,16,0,249.60
10326,Rhönbräu Klosterbier,Beverages,Bólido Comidas preparadas,6.2,50,0,310.00
10327,Chang,Beverages,Folk och fä HB,15.2,25,0.2,304.00
10327,Escargots de Bourgogne,Seafood,Folk och fä HB,10.6,30,0.2,254.40
10327,Nord-Ost Matjeshering,Seafood,Folk och fä HB,20.7,35,0.2,579.60
10327,Queso Cabrales,Dairy Products,Folk och fä HB,16.8,50,0.2,672.00
10328,Louisiana Fiery Hot Pepper Sauce,Condiments,Furia Bacalhau e Frutos do Mar,16.8,40,0,672.00
10328,Raclette Courdavault,Dairy Products,Furia Bacalhau e Frutos do Mar,44,9,0,396.00
10328,Scottish Longbreads,Confections,Furia Bacalhau e Frutos do Mar,10,10,0,100.00
10329,Côte de Blaye,Beverages,Split Rail Beer & Ale,210.8,20,0.05,4005.20
10329,Gnocchi di nonna Alice,Grains/Cereals,Split Rail Beer & Ale,30.4,12,0.05,346.56
10329,Nord-Ost Matjeshering,Seafood,Split Rail Beer & Ale,20.7,8,0.05,157.32
10329,Teatime Chocolate Biscuits,Confections,Split Rail Beer & Ale,7.3,10,0.05,69.35
10330,Gumbär Gummibärchen,Confections,LILA-Supermercado,24.9,50,0.15,1058.25
10330,Mozzarella di Giovanni,Dairy Products,LILA-Supermercado,27.8,25,0.15,590.75
10331,Tourtière,Meat/Poultry,Bon app',5.9,15,0,88.50
10332,Carnarvon Tigers,Seafood,Mère Paillarde,50,40,0.2,1600.00
10332,Singaporean Hokkien Fried Mee,Grains/Cereals,Mère Paillarde,11.2,10,0.2,89.60
10332,Zaanse koeken,Confections,Mère Paillarde,7.6,16,0.2,97.28
10333,Flotemysost,Dairy Products,Wartian Herkku,17.2,40,0.1,619.20
10333,Sir Rodney's Scones,Confections,Wartian Herkku,8,10,0.1,72.00
10333,Tofu,Produce,Wartian Herkku,18.6,10,0,186.00
10334,Filo Mix,Grains/Cereals,Victuailles en stock,5.6,8,0,44.80
10334,Scottish Longbreads,Confections,Victuailles en stock,10,10,0,100.00
10335,Chang,Beverages,Hungry Owl All-Night Grocers,15.2,7,0.2,85.12
10335,Gorgonzola Telino,Dairy Products,Hungry Owl All-Night Grocers,10,25,0.2,200.00
10335,Manjimup Dried Apples,Produce,Hungry Owl All-Night Grocers,42.4,48,0.2,1628.16
10335,Mascarpone Fabioli,Dairy Products,Hungry Owl All-Night Grocers,25.6,6,0.2,122.88
10336,Chef Anton's Cajun Seasoning,Condiments,Princesa Isabel Vinhos,17.6,18,0.1,285.12
10337,Gravad lax,Seafood,Frankenversand,20.8,28,0,582.40
10337,Gumbär Gummibärchen,Confections,Frankenversand,24.9,24,0,597.60
10337,Inlagd Sill,Seafood,Frankenversand,15.2,20,0,304.00
10337,Mozzarella di Giovanni,Dairy Products,Frankenversand,27.8,25,0,695.00
10337,Tunnbröd,Grains/Cereals,Frankenversand,7.2,40,0,288.00
10338,Alice Mutton,Meat/Poultry,Old World Delicatessen,31.2,20,0,624.00
10338,Nord-Ost Matjeshering,Seafood,Old World Delicatessen,20.7,15,0,310.50
10339,Alice Mutton,Meat/Poultry,Mère Paillarde,31.2,70,0.05,2074.80
10339,Chef Anton's Cajun Seasoning,Condiments,Mère Paillarde,17.6,10,0,176.00
10339,Tarte au sucre,Confections,Mère Paillarde,39.4,28,0,1103.20
10340,Carnarvon Tigers,Seafood,Bon app',50,20,0.05,950.00
10340,Ipoh Coffee,Beverages,Bon app',36.8,40,0.05,1398.40
10340,Jack's New England Clam Chowder,Seafood,Bon app',7.7,12,0.05,87.78
10341,Geitost,Dairy Products,Simons bistro,2,8,0,16.00
10341,Raclette Courdavault,Dairy Products,Simons bistro,44,9,0.15,336.60
10342,Chang,Beverages,Frankenversand,15.2,24,0.2,291.84
10342,Gorgonzola Telino,Dairy Products,Frankenversand,10,56,0.2,448.00
10342,Inlagd Sill,Seafood,Frankenversand,15.2,40,0.2,486.40
10342,Pâté chinois,Meat/Poultry,Frankenversand,19.2,40,0.2,614.40
10343,Lakkalikööri,Beverages,Lehmanns Marktstand,14.4,15,0,216.00
10343,Scottish Longbreads,Confections,Lehmanns Marktstand,10,4,0.05,38.00
10343,Wimmers gute Semmelknödel,Grains/Cereals,Lehmanns Marktstand,26.6,50,0,1330.00
10344,Chef Anton's Cajun Seasoning,Condiments,White Clover Markets,17.6,35,0,616.00
10344,Northwoods Cranberry Sauce,Condiments,White Clover Markets,32,70,0.25,1680.00
10345,Northwoods Cranberry Sauce,Condiments,QUICK-Stop,32,70,0,2240.00
10345,Singaporean Hokkien Fried Mee,Grains/Cereals,QUICK-Stop,11.2,9,0,100.80
10345,Teatime Chocolate Biscuits,Confections,QUICK-Stop,7.3,80,0,584.00
10346,Alice Mutton,Meat/Poultry,Rattlesnake Canyon Grocery,31.2,36,0.1,1010.88
10346,Gnocchi di nonna Alice,Grains/Cereals,Rattlesnake Canyon Grocery,30.4,20,0,608.00
10347,Boston Crab Meat,Seafood,Familia Arquibaldo,14.7,4,0,58.80
10347,Chartreuse verte,Beverages,Familia Arquibaldo,14.4,50,0.15,612.00
10347,NuNuCa Nuß-Nougat-Creme,Confections,Familia Arquibaldo,11.2,10,0,112.00
10347,Rhönbräu Klosterbier,Beverages,Familia Arquibaldo,6.2,6,0.15,31.62
10348,Chai,Beverages,Die Wandernde Kuh,14.4,15,0.15,183.60
10348,Tunnbröd,Grains/Cereals,Die Wandernde Kuh,7.2,25,0,180.00
10349,Tourtière,Meat/Poultry,Split Rail Beer & Ale,5.9,24,0,141.60
10350,Gudbrandsdalsost,Dairy Products,La maison d'Asie,28.8,18,0.1,466.56
10350,Valkoinen suklaa,Confections,La maison d'Asie,13,15,0.1,175.50
10351,Côte de Blaye,Beverages,Ernst Handel,210.8,20,0.05,4005.20
10351,Gula Malacca,Condiments,Ernst Handel,15.5,77,0.05,1133.82
10351,Jack's New England Clam Chowder,Seafood,Ernst Handel,7.7,13,0,100.10
10351,Louisiana Fiery Hot Pepper Sauce,Condiments,Ernst Handel,16.8,10,0.05,159.60
10352,Guaraná Fantástica,Beverages,Furia Bacalhau e Frutos do Mar,3.6,10,0,36.00
10352,Tourtière,Meat/Poultry,Furia Bacalhau e Frutos do Mar,5.9,20,0.15,100.30
10353,Côte de Blaye,Beverages,Piccolo und mehr,210.8,50,0.2,8432.00
10353,Queso Cabrales,Dairy Products,Piccolo und mehr,16.8,12,0.2,161.28
10354,Chai,Beverages,Pericles Comidas clásicas,14.4,12,0,172.80
10354,Thüringer Rostbratwurst,Meat/Poultry,Pericles Comidas clásicas,99,4,0,396.00
10355,Guaraná Fantástica,Beverages,Around the Horn,3.6,25,0,90.00
10355,Ravioli Angelo,Grains/Cereals,Around the Horn,15.6,25,0,390.00
10356,Gorgonzola Telino,Dairy Products,Die Wandernde Kuh,10,30,0,300.00
10356,Gudbrandsdalsost,Dairy Products,Die Wandernde Kuh,28.8,20,0,576.00
10356,Pâté chinois,Meat/Poultry,Die Wandernde Kuh,19.2,12,0,230.40
10357,Camembert Pierrot,Dairy Products,LILA-Supermercado,27.2,8,0.2,174.08
10357,Gumbär Gummibärchen,Confections,LILA-Supermercado,24.9,16,0,398.40
10357,Ikura,Seafood,LILA-Supermercado,24.8,30,0.2,595.20
10358,Guaraná Fantástica,Beverages,La maison d'Asie,3.6,10,0.05,34.20
10358,Inlagd Sill,Seafood,La maison d'Asie,15.2,20,0.05,288.80
10358,Sasquatch Ale,Beverages,La maison d'Asie,11.2,10,0.05,106.40
10359,Camembert Pierrot,Dairy Products,Seven Seas Imports,27.2,80,0.05,2067.20
10359,Gorgonzola Telino,Dairy Products,Seven Seas Imports,10,70,0.05,665.00
10359,Pavlova,Confections,Seven Seas Imports,13.9,56,0.05,739.48
10360,Côte de Blaye,Beverages,Blondesddsl père et fils,210.8,10,0,2108.00
10360,Maxilaku,Confections,Blondesddsl père et fils,16,35,0,560.00
10360,Rössle Sauerkraut,Produce,Blondesddsl père et fils,36.4,30,0,1092.00
10360,Thüringer Rostbratwurst,Meat/Poultry,Blondesddsl père et fils,99,35,0,3465.00
10360,Tourtière,Meat/Poultry,Blondesddsl père et fils,5.9,28,0,165.20
10361,Camembert Pierrot,Dairy Products,QUICK-Stop,27.2,55,0.1,1346.40
10361,Chartreuse verte,Beverages,QUICK-Stop,14.4,54,0.1,699.84
10362,Manjimup Dried Apples,Produce,Bon app',42.4,20,0,848.00
10362,NuNuCa Nuß-Nougat-Creme,Confections,Bon app',11.2,50,0,560.00
10362,Tourtière,Meat/Poultry,Bon app',5.9,24,0,141.60
10363,Gorgonzola Telino,Dairy Products,Drachenblut Delikatessen,10,20,0,200.00
10363,Lakkalikööri,Beverages,Drachenblut Delikatessen,14.4,12,0,172.80
10363,Rhönbräu Klosterbier,Beverages,Drachenblut Delikatessen,6.2,12,0,74.40
10364,Flotemysost,Dairy Products,Eastern Connection,17.2,5,0,86.00
10364,Gudbrandsdalsost,Dairy Products,Eastern Connection,28.8,30,0,864.00
10365,Queso Cabrales,Dairy Products,Antonio Moreno Taquería,16.8,24,0,403.20
10366,Louisiana Fiery Hot Pepper Sauce,Condiments,Galería del gastrónomo,16.8,5,0,84.00
10366,Original Frankfurter grüne Soße,Condiments,Galería del gastrónomo,10.4,5,0,52.00
10367,Louisiana Fiery Hot Pepper Sauce,Condiments,Vaffeljernet,16.8,15,0,252.00
10367,Original Frankfurter grüne Soße,Condiments,Vaffeljernet,10.4,7,0,72.80
10367,Sasquatch Ale,Beverages,Vaffeljernet,11.2,36,0,403.20
10367,Tourtière,Meat/Poultry,Vaffeljernet,5.9,18,0,106.20
10368,Ravioli Angelo,Grains/Cereals,Ernst Handel,15.6,25,0,390.00
10368,Rössle Sauerkraut,Produce,Ernst Handel,36.4,13,0.1,425.88
10368,Sir Rodney's Scones,Confections,Ernst Handel,8,5,0.1,36.00
10368,Wimmers gute Semmelknödel,Grains/Cereals,Ernst Handel,26.6,35,0.1,837.90
10369,Gnocchi di nonna Alice,Grains/Cereals,Split Rail Beer & Ale,30.4,18,0.25,410.40
10369,Thüringer Rostbratwurst,Meat/Poultry,Split Rail Beer & Ale,99,20,0,1980.00
10370,Chai,Beverages,Chop-suey Chinese,14.4,15,0.15,183.60
